NOMREGION;CHEFREGION;NOM;TYPE;NARRATION;ANNEE_DEBUT;ANNEE_FIN
Lindsfarne;Æthelred;Raid de Lindisfarne;Guerre;Le 8 juin 793 des guerriers vikings débarquent sur l'île de Lindisfarne et pillent le monastère sans pitié emportant calices manuscrits et reliquaires avant de massacrer ou réduire en esclavage les moines;793;796
Irlande;Brian Boru;Premiers raids en Irlande et Écosse;Raid;De 795 à 799 les Vikings frappent méthodiquement les rivages irlandais et écossais explorant les côtes à la recherche de monastères vulnérables et ramenant captifs et trésors en Scandinavie;796;800
EuropeDuNord;Charlemagne;Raids fréquents en Europe de l'Ouest;Guerre;Entre 830 et 850 les Vikings passent de simples expéditions isolées à de véritables campagnes organisées remontant la Seine la Loire et le Rhin pour frapper villes marchandes et monastères bien dotés;830;850
Angleterre;Alfred;Grande Armée païenne;Guerre;En 865 une véritable armée d'invasion menée par les fils de Ragnar Lodbrok débarque en Angleterre de l'Est avec l'intention de conquérir et de s'installer prenant York en 866 et l'Est-Anglie en 869;865;869
Angleterre;Alfred;Victoires d'Alfred le Grand;Diplomatie;Après une attaque surprise de Guthrum Alfred se réfugie dans les marais du Somerset rassemble ses forces et inflige une défaite décisive aux Vikings à Ethandun forçant Guthrum à se convertir au christianisme;878;883
Angleterre;Guthrum;Création du Danelaw;Politique;Alfred le Grand et Guthrum signent un accord divisant l'Angleterre en deux zones le Danelaw couvrant un tiers du pays où les colons vikings s'installent durablement et fondent une société hybride anglo-scandinave;886;899
Islande;Ingolfr;Colonisation de l'Islande;Colonisation;En 874 Ingólfr Arnarson jette ses piliers sacrés par-dessus bord et s'installe là où ils échouent dans une baie fumante qu'il nomme Reykjavík attirant entre 874 et 930 environ 20000 à 30000 colons norvégiens et celtes;874;929
Islande;Ingolfr;Fondation de l'Althing;Politique;En 930 les colons islandais créent l'Althing l'une des plus anciennes assemblées parlementaires au monde démontrant que les Vikings ne sont pas que des guerriers mais aussi des législateurs et des organisateurs politiques;930;959
Scandinavie;Harald;Commerce baltique;Commerce;Durant la première moitié du Xe siècle les Vikings développent un réseau commercial sophistiqué s'étendant de la Scandinavie jusqu'à Constantinople et Bagdad échangeant fourrures ambre miel et esclaves contre argent épices et soieries orientales;900;910
EuropeDuNord;Rollon;Fondation de la Normandie;Politique;Le chef viking Rollon obtient de Charles le Simple un vaste territoire autour de Rouen en échange de sa conversion au christianisme et de sa promesse de défendre la région contre d'autres Vikings donnant naissance à la Normandie;911;959
Scandinavie;Harald;Conversion au christianisme;Religion;Entre 960 et 980 les rois scandinaves se convertissent au christianisme Harald à la Dent Bleue fait ériger la pierre runique de Jelling tandis qu'Olaf Tryggvason impose le baptême en Norvège en détruisant les temples païens;960;985
Groenland;Erik;Colonisation du Groenland;Colonisation;Erik le Rouge exilé d'Islande pour meurtre découvre une terre massive à l'ouest qu'il nomme Groenland pour attirer les colons et en 986 une flotte de 25 navires quitte l'Islande dont seulement 14 arrivent à destination;986;999
Vinland;Leif;Voyages vers le Vinland;Exploration;Vers l'an 1000 Leif Erikson fils d'Erik le Rouge navigue vers l'ouest depuis le Groenland et découvre successivement Helluland Markland et le Vinland devenant ainsi le premier Européen à atteindre l'Amérique du Nord 500 ans avant Colomb;1000;1013
Irlande;Brian Boru;Bataille de Clontarf;Guerre;Le 23 avril 1014 Brian Boru Haut-Roi d'Irlande affronte une coalition de Vikings irlandais à Clontarf remportant la victoire au prix de sa propre vie marquant le début du déclin définitif de l'influence viking en Irlande;1014;1034
Angleterre;Knut;Mort de Knut le Grand;Politique;Le 12 novembre 1035 Knut le Grand meurt à Shaftesbury mettant fin à l'Empire de la Mer du Nord qui unissait l'Angleterre le Danemark et la Norvège son empire se fragmente immédiatement en guerres de succession;1035;1065
Angleterre;Harald Hardrada;Bataille de Stamford Bridge;Guerre;Le 25 septembre 1066 Harald Hardrada dernier grand roi viking est vaincu et tué par Harold Godwinson à Stamford Bridge mettant fin à 273 ans d'aventures de conquêtes et d'explorations vikings en Europe;1066;1066
